날짜,계절,휴일유무,출근길유무,날씨,온도,체감온도,습도,풍속,비회원대여,회원대여,합계대여,카테고리
2011-01-01 00:00:00,봄,예,예,맑음,9.84 도,14.39 도,81,0.0,3,13,16,매우적음
2011-01-01 01:00:00,봄,예,예,맑음,9.02 도,13.63 도,80,0.0,8,32,40,매우적음
2011-01-01 02:00:00,봄,예,예,맑음,9.02 도,13.63 도,80,0.0,5,27,32,매우적음
2011-01-01 03:00:00,봄,예,예,맑음,9.84 도,14.39 도,75,0.0,3,10,13,매우적음
2011-01-01 04:00:00,봄,예,예,맑음,9.84 도,14.39 도,75,0.0,0,1,1,매우적음
2011-01-01 05:00:00,봄,예,예,흐림,9.84 도,12.88 도,75,6.0032,0,1,1,매우적음
2011-01-01 06:00:00,봄,예,예,맑음,9.02 도,13.63 도,80,0.0,2,0,2,매우적음
2011-01-01 07:00:00,봄,예,예,맑음,8.20 도,12.88 도,86,0.0,1,2,3,매우적음
2011-01-01 08:00:00,봄,예,예,맑음,9.84 도,14.39 도,75,0.0,1,7,8,매우적음
2011-01-01 09:00:00,봄,예,예,맑음,13.12 도,17.43 도,76,0.0,8,6,14,매우적음
2011-01-01 10:00:00,봄,예,예,맑음,15.58 도,19.70 도,76,16.9979,12,24,36,매우적음
2011-01-01 11:00:00,봄,예,예,맑음,14.76 도,16.66 도,81,19.0012,26,30,56,적음
2011-01-01 12:00:00,봄,예,예,맑음,17.22 도,21.21 도,77,19.0012,29,55,84,적음
2011-01-01 13:00:00,봄,예,예,흐림,18.86 도,22.73 도,72,19.9995,47,47,94,적음
2011-01-01 14:00:00,봄,예,예,흐림,18.86 도,22.73 도,72,19.0012,35,71,106,적음
2011-01-01 15:00:00,봄,예,예,흐림,18.04 도,21.97 도,77,19.9995,40,70,110,적음
2011-01-01 16:00:00,봄,예,예,흐림,17.22 도,21.21 도,82,19.9995,41,52,93,적음
2011-01-01 17:00:00,봄,예,예,흐림,18.04 도,21.97 도,82,19.0012,15,52,67,적음
2011-01-01 18:00:00,봄,예,예,비,17.22 도,21.21 도,88,16.9979,9,26,35,매우적음
2011-01-01 19:00:00,봄,예,예,비,17.22 도,21.21 도,88,16.9979,6,31,37,매우적음
2011-01-01 20:00:00,봄,예,예,흐림,16.40 도,20.45 도,87,16.9979,11,25,36,매우적음
2011-01-01 21:00:00,봄,예,예,흐림,16.40 도,20.45 도,87,12.998,3,31,34,매우적음
2011-01-01 22:00:00,봄,예,예,흐림,16.40 도,20.45 도,94,15.0013,11,17,28,매우적음
2011-01-01 23:00:00,봄,예,예,흐림,18.86 도,22.73 도,88,19.9995,15,24,39,매우적음
2011-01-02 00:00:00,봄,예,예,흐림,18.86 도,22.73 도,88,19.9995,4,13,17,매우적음
2011-01-02 01:00:00,봄,예,예,흐림,18.04 도,21.97 도,94,16.9979,1,16,17,매우적음
2011-01-02 02:00:00,봄,예,예,흐림,17.22 도,21.21 도,100,19.0012,1,8,9,매우적음
2011-01-02 03:00:00,봄,예,예,흐림,18.86 도,22.73 도,94,12.998,2,4,6,매우적음
2011-01-02 04:00:00,봄,예,예,흐림,18.86 도,22.73 도,94,12.998,2,1,3,매우적음
2011-01-02 06:00:00,봄,예,예,비,17.22 도,21.21 도,77,19.9995,0,2,2,매우적음
2011-01-02 07:00:00,봄,예,예,흐림,16.40 도,20.45 도,76,12.998,0,1,1,매우적음
2011-01-02 08:00:00,봄,예,예,비,16.40 도,20.45 도,71,15.0013,0,8,8,매우적음
2011-01-02 09:00:00,봄,예,예,흐림,15.58 도,19.70 도,76,15.0013,1,19,20,매우적음
2011-01-02 10:00:00,봄,예,예,흐림,14.76 도,17.43 도,81,15.0013,7,46,53,적음
2011-01-02 11:00:00,봄,예,예,흐림,14.76 도,16.66 도,71,16.9979,16,54,70,적음
2011-01-02 12:00:00,봄,예,예,흐림,14.76 도,16.66 도,66,19.9995,20,73,93,적음
2011-01-02 13:00:00,봄,예,예,흐림,14.76 도,17.43 도,66,8.9981,11,64,75,적음
2011-01-02 14:00:00,봄,예,예,비,14.76 도,17.43 도,76,12.998,4,55,59,적음
2011-01-02 15:00:00,봄,예,예,비,13.94 도,16.66 도,81,11.0014,19,55,74,적음
2011-01-02 16:00:00,봄,예,예,비,13.94 도,16.66 도,71,11.0014,9,67,76,적음
2011-01-02 17:00:00,봄,예,예,맑음,13.94 도,16.66 도,57,12.998,7,58,65,적음
2011-01-02 18:00:00,봄,예,예,흐림,14.76 도,16.66 도,46,22.0028,10,43,53,적음
2011-01-02 19:00:00,봄,예,예,맑음,13.12 도,14.39 도,42,30.0026,1,29,30,매우적음
2011-01-02 20:00:00,봄,예,예,맑음,12.30 도,13.63 도,39,23.9994,5,17,22,매우적음
2011-01-02 21:00:00,봄,예,예,맑음,10.66 도,11.37 도,44,22.0028,11,20,31,매우적음
2011-01-02 22:00:00,봄,예,예,맑음,9.84 도,10.61 도,44,19.9995,0,9,9,매우적음
2011-01-02 23:00:00,봄,예,예,맑음,9.02 도,11.37 도,47,11.0014,0,8,8,매우적음
2011-01-03 00:00:00,봄,예,아니오,맑음,9.02 도,9.85 도,44,23.9994,0,5,5,매우적음
2011-01-03 01:00:00,봄,예,아니오,맑음,8.20 도,8.34 도,44,27.9993,0,2,2,매우적음
2011-01-03 04:00:00,봄,예,아니오,맑음,6.56 도,6.82 도,47,26.0027,0,1,1,매우적음
2011-01-03 05:00:00,봄,예,아니오,맑음,6.56 도,6.82 도,47,19.0012,0,3,3,매우적음
2011-01-03 06:00:00,봄,예,아니오,맑음,5.74 도,5.30 도,50,26.0027,0,30,30,매우적음
2011-01-03 07:00:00,봄,예,아니오,맑음,5.74 도,6.82 도,50,12.998,1,63,64,적음
2011-01-03 08:00:00,봄,예,아니오,맑음,5.74 도,6.06 도,50,19.0012,1,153,154,보통
2011-01-03 09:00:00,봄,예,아니오,맑음,6.56 도,6.82 도,43,26.0027,7,81,88,적음
2011-01-03 10:00:00,봄,예,아니오,맑음,7.38 도,8.34 도,43,16.9979,11,33,44,매우적음
2011-01-03 11:00:00,봄,예,아니오,맑음,8.20 도,9.09 도,40,22.0028,10,41,51,적음
2011-01-03 12:00:00,봄,예,아니오,맑음,9.02 도,10.61 도,35,19.9995,13,48,61,적음
2011-01-03 13:00:00,봄,예,아니오,맑음,9.84 도,10.61 도,35,19.0012,8,53,61,적음
2011-01-03 14:00:00,봄,예,아니오,맑음,10.66 도,12.12 도,30,19.0012,11,66,77,적음
2011-01-03 15:00:00,봄,예,아니오,맑음,10.66 도,12.12 도,30,16.9979,14,58,72,적음
2011-01-03 16:00:00,봄,예,아니오,맑음,10.66 도,12.12 도,30,16.9979,9,67,76,적음
2011-01-03 17:00:00,봄,예,아니오,맑음,9.84 도,11.37 도,30,15.0013,11,146,157,보통
2011-01-03 18:00:00,봄,예,아니오,맑음,9.84 도,12.88 도,32,7.0015,9,148,157,보통
2011-01-03 19:00:00,봄,예,아니오,맑음,8.20 도,12.88 도,47,0.0,8,102,110,적음
2011-01-03 20:00:00,봄,예,아니오,맑음,8.20 도,11.37 도,47,7.0015,3,49,52,적음
2011-01-03 21:00:00,봄,예,아니오,맑음,7.38 도,9.85 도,64,8.9981,3,49,52,적음
2011-01-03 22:00:00,봄,예,아니오,맑음,5.74 도,7.58 도,69,8.9981,0,20,20,매우적음
2011-01-03 23:00:00,봄,예,아니오,맑음,7.38 도,10.61 도,55,7.0015,1,11,12,매우적음
2011-01-04 00:00:00,봄,예,아니오,맑음,6.56 도,9.09 도,55,7.0015,0,5,5,매우적음
2011-01-04 01:00:00,봄,예,아니오,맑음,6.56 도,9.09 도,59,7.0015,0,2,2,매우적음
2011-01-04 02:00:00,봄,예,아니오,맑음,5.74 도,7.58 도,63,8.9981,0,1,1,매우적음
2011-01-04 04:00:00,봄,예,아니오,맑음,5.74 도,9.09 도,63,6.0032,0,2,2,매우적음
2011-01-04 05:00:00,봄,예,아니오,맑음,4.92 도,7.58 도,68,7.0015,0,4,4,매우적음
2011-01-04 06:00:00,봄,예,아니오,맑음,4.92 도,7.58 도,74,7.0015,0,36,36,매우적음
2011-01-04 07:00:00,봄,예,아니오,맑음,4.92 도,7.58 도,74,8.9981,2,92,94,적음
2011-01-04 08:00:00,봄,예,아니오,맑음,5.74 도,7.58 도,69,11.0014,2,177,179,보통
2011-01-04 09:00:00,봄,예,아니오,맑음,6.56 도,7.58 도,64,15.0013,2,98,100,적음
2011-01-04 10:00:00,봄,예,아니오,흐림,6.56 도,6.82 도,69,22.0028,5,37,42,매우적음
2011-01-04 11:00:00,봄,예,아니오,맑음,9.02 도,10.61 도,51,19.9995,7,50,57,적음
2011-01-04 12:00:00,봄,예,아니오,맑음,9.02 도,11.37 도,51,11.0014,12,66,78,적음
2011-01-04 13:00:00,봄,예,아니오,맑음,9.84 도,11.37 도,56,12.998,18,79,97,적음
2011-01-04 14:00:00,봄,예,아니오,맑음,10.66 도,12.88 도,52,15.0013,9,54,63,적음
2011-01-04 15:00:00,봄,예,아니오,맑음,11.48 도,13.63 도,52,16.9979,17,48,65,적음
