datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,계절
2011-01-01 00:00:00,1,0,0,1,9.84,14.395,81,0.0,3,13,16,봄
2011-01-01 01:00:00,1,0,0,1,9.02,13.635,80,0.0,8,32,40,봄
2011-01-01 02:00:00,1,0,0,1,9.02,13.635,80,0.0,5,27,32,봄
2011-01-01 03:00:00,1,0,0,1,9.84,14.395,75,0.0,3,10,13,봄
2011-01-01 04:00:00,1,0,0,1,9.84,14.395,75,0.0,0,1,1,봄
2011-01-01 05:00:00,1,0,0,2,9.84,12.88,75,6.0032,0,1,1,봄
2011-01-01 06:00:00,1,0,0,1,9.02,13.635,80,0.0,2,0,2,봄
2011-01-01 07:00:00,1,0,0,1,8.2,12.88,86,0.0,1,2,3,봄
2011-01-01 08:00:00,1,0,0,1,9.84,14.395,75,0.0,1,7,8,봄
2011-01-01 09:00:00,1,0,0,1,13.12,17.425,76,0.0,8,6,14,봄
2011-01-01 10:00:00,1,0,0,1,15.58,19.695,76,16.9979,12,24,36,봄
2011-01-01 11:00:00,1,0,0,1,14.76,16.665,81,19.0012,26,30,56,봄
2011-01-01 12:00:00,1,0,0,1,17.22,21.21,77,19.0012,29,55,84,봄
2011-01-01 13:00:00,1,0,0,2,18.86,22.725,72,19.9995,47,47,94,봄
2011-01-01 14:00:00,1,0,0,2,18.86,22.725,72,19.0012,35,71,106,봄
2011-01-01 15:00:00,1,0,0,2,18.04,21.97,77,19.9995,40,70,110,봄
2011-01-01 16:00:00,1,0,0,2,17.22,21.21,82,19.9995,41,52,93,봄
2011-01-01 17:00:00,1,0,0,2,18.04,21.97,82,19.0012,15,52,67,봄
2011-01-01 18:00:00,1,0,0,3,17.22,21.21,88,16.9979,9,26,35,봄
2011-01-01 19:00:00,1,0,0,3,17.22,21.21,88,16.9979,6,31,37,봄
2011-01-01 20:00:00,1,0,0,2,16.4,20.455,87,16.9979,11,25,36,봄
2011-01-01 21:00:00,1,0,0,2,16.4,20.455,87,12.998,3,31,34,봄
2011-01-01 22:00:00,1,0,0,2,16.4,20.455,94,15.0013,11,17,28,봄
2011-01-01 23:00:00,1,0,0,2,18.86,22.725,88,19.9995,15,24,39,봄
2011-01-02 00:00:00,1,0,0,2,18.86,22.725,88,19.9995,4,13,17,봄
2011-01-02 01:00:00,1,0,0,2,18.04,21.97,94,16.9979,1,16,17,봄
2011-01-02 02:00:00,1,0,0,2,17.22,21.21,100,19.0012,1,8,9,봄
2011-01-02 03:00:00,1,0,0,2,18.86,22.725,94,12.998,2,4,6,봄
2011-01-02 04:00:00,1,0,0,2,18.86,22.725,94,12.998,2,1,3,봄
2011-01-02 06:00:00,1,0,0,3,17.22,21.21,77,19.9995,0,2,2,봄
2011-01-02 07:00:00,1,0,0,2,16.4,20.455,76,12.998,0,1,1,봄
2011-01-02 08:00:00,1,0,0,3,16.4,20.455,71,15.0013,0,8,8,봄
2011-01-02 09:00:00,1,0,0,2,15.58,19.695,76,15.0013,1,19,20,봄
2011-01-02 10:00:00,1,0,0,2,14.76,17.425,81,15.0013,7,46,53,봄
2011-01-02 11:00:00,1,0,0,2,14.76,16.665,71,16.9979,16,54,70,봄
2011-01-02 12:00:00,1,0,0,2,14.76,16.665,66,19.9995,20,73,93,봄
2011-01-02 13:00:00,1,0,0,2,14.76,17.425,66,8.9981,11,64,75,봄
2011-01-02 14:00:00,1,0,0,3,14.76,17.425,76,12.998,4,55,59,봄
2011-01-02 15:00:00,1,0,0,3,13.94,16.665,81,11.0014,19,55,74,봄
2011-01-02 16:00:00,1,0,0,3,13.94,16.665,71,11.0014,9,67,76,봄
2011-01-02 17:00:00,1,0,0,1,13.94,16.665,57,12.998,7,58,65,봄
2011-01-02 18:00:00,1,0,0,2,14.76,16.665,46,22.0028,10,43,53,봄
2011-01-02 19:00:00,1,0,0,1,13.12,14.395,42,30.0026,1,29,30,봄
2011-01-02 20:00:00,1,0,0,1,12.3,13.635,39,23.9994,5,17,22,봄
2011-01-02 21:00:00,1,0,0,1,10.66,11.365,44,22.0028,11,20,31,봄
2011-01-02 22:00:00,1,0,0,1,9.84,10.605,44,19.9995,0,9,9,봄
2011-01-02 23:00:00,1,0,0,1,9.02,11.365,47,11.0014,0,8,8,봄
2011-01-03 00:00:00,1,0,1,1,9.02,9.85,44,23.9994,0,5,5,봄
2011-01-03 01:00:00,1,0,1,1,8.2,8.335,44,27.9993,0,2,2,봄
2011-01-03 04:00:00,1,0,1,1,6.56,6.82,47,26.0027,0,1,1,봄
2011-01-03 05:00:00,1,0,1,1,6.56,6.82,47,19.0012,0,3,3,봄
2011-01-03 06:00:00,1,0,1,1,5.74,5.305,50,26.0027,0,30,30,봄
2011-01-03 07:00:00,1,0,1,1,5.74,6.82,50,12.998,1,63,64,봄
2011-01-03 08:00:00,1,0,1,1,5.74,6.06,50,19.0012,1,153,154,봄
2011-01-03 09:00:00,1,0,1,1,6.56,6.82,43,26.0027,7,81,88,봄
