,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,계절
0,2011-01-01 00:00:00,1,0,0,1,9.84,14.395,81,0.0,3,13,16,봄
1,2011-01-01 01:00:00,1,0,0,1,9.02,13.635,80,0.0,8,32,40,봄
2,2011-01-01 02:00:00,1,0,0,1,9.02,13.635,80,0.0,5,27,32,봄
3,2011-01-01 03:00:00,1,0,0,1,9.84,14.395,75,0.0,3,10,13,봄
4,2011-01-01 04:00:00,1,0,0,1,9.84,14.395,75,0.0,0,1,1,봄
5,2011-01-01 05:00:00,1,0,0,2,9.84,12.88,75,6.0032,0,1,1,봄
6,2011-01-01 06:00:00,1,0,0,1,9.02,13.635,80,0.0,2,0,2,봄
7,2011-01-01 07:00:00,1,0,0,1,8.2,12.88,86,0.0,1,2,3,봄
8,2011-01-01 08:00:00,1,0,0,1,9.84,14.395,75,0.0,1,7,8,봄
9,2011-01-01 09:00:00,1,0,0,1,13.12,17.425,76,0.0,8,6,14,봄
10,2011-01-01 10:00:00,1,0,0,1,15.58,19.695,76,16.9979,12,24,36,봄
11,2011-01-01 11:00:00,1,0,0,1,14.76,16.665,81,19.0012,26,30,56,봄
12,2011-01-01 12:00:00,1,0,0,1,17.22,21.21,77,19.0012,29,55,84,봄
13,2011-01-01 13:00:00,1,0,0,2,18.86,22.725,72,19.9995,47,47,94,봄
14,2011-01-01 14:00:00,1,0,0,2,18.86,22.725,72,19.0012,35,71,106,봄
15,2011-01-01 15:00:00,1,0,0,2,18.04,21.97,77,19.9995,40,70,110,봄
16,2011-01-01 16:00:00,1,0,0,2,17.22,21.21,82,19.9995,41,52,93,봄
17,2011-01-01 17:00:00,1,0,0,2,18.04,21.97,82,19.0012,15,52,67,봄
18,2011-01-01 18:00:00,1,0,0,3,17.22,21.21,88,16.9979,9,26,35,봄
19,2011-01-01 19:00:00,1,0,0,3,17.22,21.21,88,16.9979,6,31,37,봄
20,2011-01-01 20:00:00,1,0,0,2,16.4,20.455,87,16.9979,11,25,36,봄
21,2011-01-01 21:00:00,1,0,0,2,16.4,20.455,87,12.998,3,31,34,봄
22,2011-01-01 22:00:00,1,0,0,2,16.4,20.455,94,15.0013,11,17,28,봄
23,2011-01-01 23:00:00,1,0,0,2,18.86,22.725,88,19.9995,15,24,39,봄
24,2011-01-02 00:00:00,1,0,0,2,18.86,22.725,88,19.9995,4,13,17,봄
25,2011-01-02 01:00:00,1,0,0,2,18.04,21.97,94,16.9979,1,16,17,봄
26,2011-01-02 02:00:00,1,0,0,2,17.22,21.21,100,19.0012,1,8,9,봄
27,2011-01-02 03:00:00,1,0,0,2,18.86,22.725,94,12.998,2,4,6,봄
28,2011-01-02 04:00:00,1,0,0,2,18.86,22.725,94,12.998,2,1,3,봄
29,2011-01-02 06:00:00,1,0,0,3,17.22,21.21,77,19.9995,0,2,2,봄
30,2011-01-02 07:00:00,1,0,0,2,16.4,20.455,76,12.998,0,1,1,봄
31,2011-01-02 08:00:00,1,0,0,3,16.4,20.455,71,15.0013,0,8,8,봄
32,2011-01-02 09:00:00,1,0,0,2,15.58,19.695,76,15.0013,1,19,20,봄
33,2011-01-02 10:00:00,1,0,0,2,14.76,17.425,81,15.0013,7,46,53,봄
34,2011-01-02 11:00:00,1,0,0,2,14.76,16.665,71,16.9979,16,54,70,봄
35,2011-01-02 12:00:00,1,0,0,2,14.76,16.665,66,19.9995,20,73,93,봄
36,2011-01-02 13:00:00,1,0,0,2,14.76,17.425,66,8.9981,11,64,75,봄
37,2011-01-02 14:00:00,1,0,0,3,14.76,17.425,76,12.998,4,55,59,봄
38,2011-01-02 15:00:00,1,0,0,3,13.94,16.665,81,11.0014,19,55,74,봄
39,2011-01-02 16:00:00,1,0,0,3,13.94,16.665,71,11.0014,9,67,76,봄
40,2011-01-02 17:00:00,1,0,0,1,13.94,16.665,57,12.998,7,58,65,봄
41,2011-01-02 18:00:00,1,0,0,2,14.76,16.665,46,22.0028,10,43,53,봄
42,2011-01-02 19:00:00,1,0,0,1,13.12,14.395,42,30.0026,1,29,30,봄
43,2011-01-02 20:00:00,1,0,0,1,12.3,13.635,39,23.9994,5,17,22,봄
44,2011-01-02 21:00:00,1,0,0,1,10.66,11.365,44,22.0028,11,20,31,봄
45,2011-01-02 22:00:00,1,0,0,1,9.84,10.605,44,19.9995,0,9,9,봄
46,2011-01-02 23:00:00,1,0,0,1,9.02,11.365,47,11.0014,0,8,8,봄
47,2011-01-03 00:00:00,1,0,1,1,9.02,9.85,44,23.9994,0,5,5,봄
48,2011-01-03 01:00:00,1,0,1,1,8.2,8.335,44,27.9993,0,2,2,봄
49,2011-01-03 04:00:00,1,0,1,1,6.56,6.82,47,26.0027,0,1,1,봄
50,2011-01-03 05:00:00,1,0,1,1,6.56,6.82,47,19.0012,0,3,3,봄
51,2011-01-03 06:00:00,1,0,1,1,5.74,5.305,50,26.0027,0,30,30,봄
52,2011-01-03 07:00:00,1,0,1,1,5.74,6.82,50,12.998,1,63,64,봄
53,2011-01-03 08:00:00,1,0,1,1,5.74,6.06,50,19.0012,1,153,154,봄
54,2011-01-03 09:00:00,1,0,1,1,6.56,6.82,43,26.0027,7,81,88,봄
55,2011-01-03 10:00:00,1,0,1,1,7.38,8.335,43,16.9979,11,33,44,봄
56,2011-01-03 11:00:00,1,0,1,1,8.2,9.09,40,22.0028,10,41,51,봄
57,2011-01-03 12:00:00,1,0,1,1,9.02,10.605,35,19.9995,13,48,61,봄
58,2011-01-03 13:00:00,1,0,1,1,9.84,10.605,35,19.0012,8,53,61,봄
59,2011-01-03 14:00:00,1,0,1,1,10.66,12.12,30,19.0012,11,66,77,봄
60,2011-01-03 15:00:00,1,0,1,1,10.66,12.12,30,16.9979,14,58,72,봄
61,2011-01-03 16:00:00,1,0,1,1,10.66,12.12,30,16.9979,9,67,76,봄
62,2011-01-03 17:00:00,1,0,1,1,9.84,11.365,30,15.0013,11,146,157,봄
63,2011-01-03 18:00:00,1,0,1,1,9.84,12.88,32,7.0015,9,148,157,봄
64,2011-01-03 19:00:00,1,0,1,1,8.2,12.88,47,0.0,8,102,110,봄
65,2011-01-03 20:00:00,1,0,1,1,8.2,11.365,47,7.0015,3,49,52,봄
66,2011-01-03 21:00:00,1,0,1,1,7.38,9.85,64,8.9981,3,49,52,봄
67,2011-01-03 22:00:00,1,0,1,1,5.74,7.575,69,8.9981,0,20,20,봄
68,2011-01-03 23:00:00,1,0,1,1,7.38,10.605,55,7.0015,1,11,12,봄
69,2011-01-04 00:00:00,1,0,1,1,6.56,9.09,55,7.0015,0,5,5,봄
70,2011-01-04 01:00:00,1,0,1,1,6.56,9.09,59,7.0015,0,2,2,봄
71,2011-01-04 02:00:00,1,0,1,1,5.74,7.575,63,8.9981,0,1,1,봄
72,2011-01-04 04:00:00,1,0,1,1,5.74,9.09,63,6.0032,0,2,2,봄
73,2011-01-04 05:00:00,1,0,1,1,4.92,7.575,68,7.0015,0,4,4,봄
74,2011-01-04 06:00:00,1,0,1,1,4.92,7.575,74,7.0015,0,36,36,봄
75,2011-01-04 07:00:00,1,0,1,1,4.92,7.575,74,8.9981,2,92,94,봄
76,2011-01-04 08:00:00,1,0,1,1,5.74,7.575,69,11.0014,2,177,179,봄
77,2011-01-04 09:00:00,1,0,1,1,6.56,7.575,64,15.0013,2,98,100,봄
78,2011-01-04 10:00:00,1,0,1,2,6.56,6.82,69,22.0028,5,37,42,봄
79,2011-01-04 11:00:00,1,0,1,1,9.02,10.605,51,19.9995,7,50,57,봄
80,2011-01-04 12:00:00,1,0,1,1,9.02,11.365,51,11.0014,12,66,78,봄
81,2011-01-04 13:00:00,1,0,1,1,9.84,11.365,56,12.998,18,79,97,봄
82,2011-01-04 14:00:00,1,0,1,1,10.66,12.88,52,15.0013,9,54,63,봄
83,2011-01-04 15:00:00,1,0,1,1,11.48,13.635,52,16.9979,17,48,65,봄
84,2011-01-04 16:00:00,1,0,1,1,12.3,14.395,49,16.9979,15,68,83,봄
85,2011-01-04 17:00:00,1,0,1,1,11.48,13.635,48,15.0013,10,202,212,봄
86,2011-01-04 18:00:00,1,0,1,1,10.66,12.88,48,12.998,3,179,182,봄
87,2011-01-04 19:00:00,1,0,1,1,9.84,12.88,48,7.0015,2,110,112,봄
88,2011-01-04 20:00:00,1,0,1,1,9.84,12.88,48,7.0015,1,53,54,봄
89,2011-01-04 21:00:00,1,0,1,1,9.02,13.635,64,0.0,0,48,48,봄
90,2011-01-04 22:00:00,1,0,1,1,9.02,12.88,64,6.0032,1,34,35,봄
91,2011-01-04 23:00:00,1,0,1,1,8.2,11.365,69,6.0032,2,9,11,봄
92,2011-01-05 00:00:00,1,0,1,1,8.2,12.88,64,0.0,0,6,6,봄
93,2011-01-05 01:00:00,1,0,1,1,6.56,9.85,74,6.0032,0,6,6,봄
94,2011-01-05 02:00:00,1,0,1,1,6.56,9.85,74,6.0032,0,2,2,봄
95,2011-01-05 04:00:00,1,0,1,1,9.84,11.365,48,15.0013,0,2,2,봄
96,2011-01-05 05:00:00,1,0,1,1,9.02,11.365,47,11.0014,0,3,3,봄
97,2011-01-05 06:00:00,1,0,1,1,8.2,9.85,47,15.0013,0,33,33,봄
98,2011-01-05 07:00:00,1,0,1,1,7.38,9.09,43,12.998,1,87,88,봄
99,2011-01-05 08:00:00,1,0,1,1,8.2,9.09,40,19.9995,3,192,195,봄
100,2011-01-05 09:00:00,1,0,1,1,9.02,9.85,37,22.0028,6,109,115,봄
101,2011-01-05 10:00:00,1,0,1,1,9.02,9.85,37,22.0028,4,53,57,봄
102,2011-01-05 11:00:00,1,0,1,1,10.66,11.365,33,22.0028,12,34,46,봄
103,2011-01-05 12:00:00,1,0,1,1,10.66,11.365,33,22.0028,5,74,79,봄
104,2011-01-05 13:00:00,1,0,1,1,11.48,12.88,30,19.9995,6,65,71,봄
105,2011-01-05 14:00:00,1,0,1,1,12.3,14.395,28,12.998,10,52,62,봄
106,2011-01-05 15:00:00,1,0,1,1,12.3,14.395,28,12.998,7,55,62,봄
107,2011-01-05 16:00:00,1,0,1,1,12.3,15.91,28,6.0032,4,85,89,봄
108,2011-01-05 17:00:00,1,0,1,1,9.84,11.365,38,12.998,4,186,190,봄
109,2011-01-05 18:00:00,1,0,1,1,9.84,12.12,38,8.9981,3,166,169,봄
110,2011-01-05 19:00:00,1,0,1,1,9.84,12.88,38,7.0015,5,127,132,봄
111,2011-01-05 20:00:00,1,0,1,1,9.02,11.365,47,11.0014,7,82,89,봄
112,2011-01-05 21:00:00,1,0,1,1,8.2,9.85,51,12.998,3,40,43,봄
113,2011-01-05 22:00:00,1,0,1,1,7.38,9.85,55,8.9981,1,41,42,봄
114,2011-01-05 23:00:00,1,0,1,1,8.2,12.88,47,0.0,1,18,19,봄
115,2011-01-06 00:00:00,1,0,1,1,7.38,12.12,55,0.0,0,11,11,봄
116,2011-01-06 01:00:00,1,0,1,1,6.56,11.365,64,0.0,0,4,4,봄
117,2011-01-06 02:00:00,1,0,1,1,6.56,11.365,64,0.0,0,2,2,봄
118,2011-01-06 04:00:00,1,0,1,2,6.56,9.85,64,6.0032,0,1,1,봄
119,2011-01-06 05:00:00,1,0,1,2,5.74,9.09,69,6.0032,0,4,4,봄
120,2011-01-06 06:00:00,1,0,1,2,5.74,8.335,63,7.0015,0,36,36,봄
121,2011-01-06 07:00:00,1,0,1,2,6.56,11.365,59,0.0,0,95,95,봄
122,2011-01-06 08:00:00,1,0,1,1,6.56,11.365,59,0.0,3,216,219,봄
123,2011-01-06 09:00:00,1,0,1,2,7.38,12.12,51,0.0,6,116,122,봄
124,2011-01-06 10:00:00,1,0,1,1,8.2,12.88,47,0.0,3,42,45,봄
125,2011-01-06 11:00:00,1,0,1,1,9.02,12.88,44,6.0032,2,57,59,봄
126,2011-01-06 12:00:00,1,0,1,1,10.66,14.395,35,0.0,6,78,84,봄
127,2011-01-06 13:00:00,1,0,1,1,10.66,13.635,35,7.0015,12,55,67,봄
128,2011-01-06 14:00:00,1,0,1,1,11.48,13.635,36,11.0014,11,59,70,봄
129,2011-01-06 15:00:00,1,0,1,1,11.48,13.635,36,0.0,8,54,62,봄
130,2011-01-06 16:00:00,1,0,1,1,10.66,12.88,38,11.0014,12,74,86,봄
131,2011-01-06 17:00:00,1,0,1,1,9.02,11.365,51,11.0014,9,163,172,봄
132,2011-01-06 18:00:00,1,0,1,1,9.02,11.365,51,8.9981,5,158,163,봄
133,2011-01-06 19:00:00,1,0,1,1,9.02,12.88,55,6.0032,3,109,112,봄
134,2011-01-06 20:00:00,1,0,1,1,8.2,10.605,51,11.0014,3,66,69,봄
135,2011-01-06 21:00:00,1,0,1,2,9.02,10.605,55,15.0013,0,48,48,봄
136,2011-01-06 22:00:00,1,0,1,2,9.02,10.605,51,19.0012,1,51,52,봄
137,2011-01-06 23:00:00,1,0,1,2,8.2,9.85,59,12.998,4,19,23,봄
138,2011-01-07 00:00:00,1,0,1,2,8.2,9.85,64,12.998,4,13,17,봄
139,2011-01-07 01:00:00,1,0,1,2,8.2,9.85,69,15.0013,2,5,7,봄
140,2011-01-07 02:00:00,1,0,1,2,8.2,9.85,69,15.0013,0,1,1,봄
141,2011-01-07 04:00:00,1,0,1,2,8.2,10.605,69,8.9981,0,1,1,봄
142,2011-01-07 05:00:00,1,0,1,3,9.02,13.635,55,0.0,0,5,5,봄
143,2011-01-07 06:00:00,1,0,1,2,8.2,12.88,69,0.0,8,26,34,봄
144,2011-01-07 07:00:00,1,0,1,1,8.2,10.605,69,8.9981,8,76,84,봄
145,2011-01-07 08:00:00,1,0,1,1,8.2,9.85,51,16.9979,20,190,210,봄
146,2011-01-07 09:00:00,1,0,1,1,8.2,9.09,47,19.9995,9,125,134,봄
147,2011-01-07 10:00:00,1,0,1,1,9.02,9.85,37,22.0028,16,47,63,봄
148,2011-01-07 11:00:00,1,0,1,2,8.2,9.85,40,15.0013,19,48,67,봄
149,2011-01-07 12:00:00,1,0,1,2,8.2,9.85,37,16.9979,9,50,59,봄
150,2011-01-07 13:00:00,1,0,1,2,8.2,9.09,37,19.0012,9,64,73,봄
151,2011-01-07 14:00:00,1,0,1,2,8.2,9.85,40,16.9979,7,43,50,봄
152,2011-01-07 15:00:00,1,0,1,2,8.2,10.605,37,11.0014,9,63,72,봄
153,2011-01-07 16:00:00,1,0,1,2,8.2,10.605,37,11.0014,5,82,87,봄
154,2011-01-07 17:00:00,1,0,1,2,8.2,12.88,37,0.0,9,178,187,봄
155,2011-01-07 18:00:00,1,0,1,1,8.2,11.365,40,6.0032,7,116,123,봄
156,2011-01-07 19:00:00,1,0,1,1,6.56,9.85,55,6.0032,3,92,95,봄
157,2011-01-07 20:00:00,1,0,1,1,7.38,10.605,47,7.0015,1,50,51,봄
158,2011-01-07 21:00:00,1,0,1,1,7.38,9.85,47,8.9981,0,39,39,봄
159,2011-01-07 22:00:00,1,0,1,2,7.38,9.85,43,11.0014,2,34,36,봄
160,2011-01-07 23:00:00,1,0,1,2,7.38,9.85,51,11.0014,1,14,15,봄
161,2011-01-08 00:00:00,1,0,0,2,7.38,9.85,51,11.0014,1,24,25,봄
162,2011-01-08 01:00:00,1,0,0,2,7.38,10.605,55,6.0032,1,15,16,봄
163,2011-01-08 02:00:00,1,0,0,2,7.38,12.12,55,0.0,3,13,16,봄
